Título,Semilla,URL_adicionales,Estado,Tipo de recolección,Frecuencia ,Profundidad,Tamaño,Palabras_clave,Materia
"Ocho huellas (Los Palacios y Villafranca, Sevilla)",http://8huellas.com,,Inactiva,Selectiva,Anual,Host,Mediano,Cerveza / Industria de las bebidas / Sevilla,663 Industria de las bebidas. Industria de los estimulantes
Asociación Andaluza de Medicina y Seguridad en el Trabajo,http://aamst.es,,Activa,Selectiva,Semestral,Host,Pequeno,Medicina del trabajo / Asociaciones / Andalucía,61 Medicina. Farmacia
"Loaimes, Los (Cogollos Vega, Granada)",http://aceitedecogollos.com,,Activa,Selectiva,Anual,Host,Mediano,Aceite de oliva / Almazaras / Cooperativas / Granada,664 Industria alimentaria
"Asociación de Productores y Transformadores de Aceite de Oliva del Poniente de Granada (Montefrío, Granada)",http://aceitesdelponiente.com,,Activa,Selectiva,Anual,Host,Mediano,Aceite de oliva / Almazaras / Granada / Asociaciones,664 Industria alimentaria
"Aceites de Sierra de Yeguas (Sierra de Yeguas, Málaga)",http://aceitesierrayeguas.es,,Activa,Selectiva,Anual,Host,Mediano,Aceite de oliva / Almazaras / Cooperativas / Málaga,664 Industria alimentaria
Aceites Torres Patiño (Córdoba),http://aceitestorrespatino.com,,Activa,Selectiva,Anual,Host,Mediano,Aceite de oliva / Almazaras / Córdoba,664 Industria alimentaria
Actualidad Almanzora,http://actualidadalmanzora.blogspot.com,,Activa,Selectiva,Semanal,Inicio y 1 nivel,Pequeno,Medios de comunicación social / Periódicos electrónicos / Almería / Andalucía,07 Prensa
Agrupación de Cofradías de Lucena (Córdoba),http://agrupaciondecofradiasdelucena.blogspot.com,,Activa,Selectiva,Anual,Host,Mediano,Religión / Semana Santa / Cofradías / Entidades religiosas / Córdoba,2 Religión. Teología
Aguilar noticias.com,http://aguilarnoticias.com,,Activa,Selectiva,Semanal,Inicio y 1 nivel,Pequeno,Medios de comunicación social / Periódicos electrónicos / Córdoba / Andalucía,07 Prensa
"Al-Alba Teatro (Osuna, Sevilla)",http://alalbateatro.com,,Activa,Selectiva,Semestral,Host,Pequeno,Teatro / Compañías teatrales / Sevilla,792/793 Teatro. Danza
Ciudadanos - Almería - (Cs - Almería),http://almeria.ciudadanos-cs.org,,Activa,Selectiva,Semestral,Inicio y 2 niveles,Pequeno,Política / Instituciones políticas / Partidos políticos / Ciudadanos - Partido de la Ciudadanía (Cs) / Almería,32 Política
"CEIP Álvarez Sotomayor (Cuevas de Almanzora, Almería)",http://alvarezsotomayor.blogspot.com,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Almería,37 Educación. Enseñanza. Didáctica
"CEIP Al-Yussana (Lucena, Córdoba)",http://al-yussanabilingue.blogspot.com,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Córdoba,37 Educación. Enseñanza. Didáctica
Sociedad de Amigos del Real Jardín Botánico de Córdoba,http://amigosbotanicocordoba.es,,Activa,Selectiva,Anual,Host,Mediano,Plantas / Jardines botánicos / Asociaciones / Córdoba,58 Botánica
Asociación Amigos del Lobo de Sierra Morena,http://amigosdellobodesierramorena.blogspot.com,,Activa,Selectiva,Semestral,Host,Pequeno,Animales / Lobos / Asociaciones / Córdoba,59 Zoología
Asociación Amigos del Teatro Ciudad de Marbella (Málaga),http://amigosdelteatromarbella.es,,Activa,Selectiva,Semestral,Host,Pequeno,Teatro / Asociaciones / Málaga,792/793 Teatro. Danza
"CEIP Antonia Santaolalla (Taberno, Almería)",http://antoniasantaolallataberno.blogspot.com,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Almería,37 Educación. Enseñanza. Didáctica
"CEIP Antonio Machado (Espera, Cádiz)",http://antoniomachadoespera.blogspot.com,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Cádiz,37 Educación. Enseñanza. Didáctica
Molino aceitero “La Molina” (Málaga),http://anvioro.es,,Activa,Selectiva,Anual,Host,Mediano,Aceite de oliva / Almazaras / Málaga,664 Industria alimentaria
"S.C.A. Sagrado Corazón de Jesús (Las Casillas, Jaén)",http://aovelascasillas.com,,Activa,Selectiva,Anual,Host,Mediano,Aceite de oliva / Almazara / Cooperativas / Jaén,664 Industria alimentaria
Asociación de la prensa de Jerez,http://apjerez.blogspot.com,,Activa,Selectiva,Mensual,Inicio y 2 niveles,Pequeno,Periodismo / Periodistas / Asociaciones / Jerez,07 Prensa
"CEIP Josefa Gavala (Lebrija, Sevilla)",http://aprendiendoaaprenderenelcole.blogspot.com,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Sevilla,37 Educación. Enseñanza. Didáctica
Coro Ars Canendi de Sevilla,http://arscanendi.com,,Activa,Selectiva,Anual,Host,Mediano,Música coral / Coros / Asociaciones / Sevilla,78 Música
"CEIP Arturo del Moral (Cabra del Santo Cristo, Jaén)",http://arturodelmoral.blogspot.com,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Jaén,37 Educación. Enseñanza. Didáctica
Asociación de Amigos del Ferrocarril de Almería,http://asafal.es,,Activa,Selectiva,Anual,Host,Mediano,Transportes / Ferrocarriles / Asociaciones / Almería,656 Transportes. Correos
Asociación Andaluza de Urología,http://asociacionandaluzadeurologia.net,,Activa,Selectiva,Semestral,Host,Pequeno,Medicina / Urología / Asociaciones / Andalucía,61 Medicina. Farmacia
Asociación Andaluza de Profesionales de la Danza,http://asociacionpad.feced.org,,Activa,Selectiva,Semestral,Host,Pequeno,Danza / Artistas / Asociación / Andalucía,792/793 Teatro. Danza
Asociación de la prensa de Córdoba,http://asprencor.com,,Activa,Selectiva,Mensual,Inicio y 2 niveles,Pequeno,Periodismo / Periodistas / Asociaciones / Córdoba,07 Prensa
"CEIP Europa (Linares, Jaén)",http://auladigitaleuropa.blogspot.com,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Jaén,37 Educación. Enseñanza. Didáctica
"CEIP Andalucía (Linares, Jaén)",http://aventurasaber.blogspot.com,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Jaén,37 Educación. Enseñanza. Didáctica
Ayuntamiento de Ogíjares,http://ayuntamientodeogijares.es,,Activa,Selectiva,Semestral,Host,Pequeno,Organismos administrativos / Ayuntamientos / Granada,35 Administración pública
"CEIP Bahía de Barbate (Barbate, Cádiz)",http://bahiadebarbate.es,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Cádiz,37 Educación. Enseñanza. Didáctica
"Bamba Craftbeer (Alcalá de Gudaira, Sevilla)",http://bambacraftbeer.com,,Inactiva,Selectiva,Anual,Host,Mediano,Cerveza / industria de las bebidas / Sevilla,663 Industria de las bebidas. Industria de los estimulantes
"CEIP Nuestra Señora de Belén (Gines, Sevilla)",http://belengines.blogspot.com,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Sevilla,37 Educación. Enseñanza. Didáctica
"CEIP Albaicín (Sanlúcar de Barrameda, Cádiz)",http://biblioceipalbaicin.blogspot.com,,Activa,Selectiva,Semestral,Host,Mediano,Educación / Centros docentes / Cádiz,37 Educación. Enseñanza. Didáctica
"CEIP Ntra. Sra. del Rosario (Luque, Córdoba)",http://bibliotecacoleluque.blogspot.com,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Córdoba,37 Educación. Enseñanza. Didáctica
